-.422	.079	-.230	-.282	-.183	-.257	-.268	-.363	-.425
-.446	.069	-.250	-.301	-.233	-.250	-.250	-.170	-.055
-.494	.064	-.233	-.292	-.210	-.199	-.152	.017	.156
-.521	.057	-.219	-.285	-.192	-.126	-.053	.128	.189
-.543	.062	-.210	-.264	-.135	-.048	.057	.187	.198
-.551	.041	-.176	-.223	-.082	.064	.165	.233	.166
-.553	.026	-.138	-.159	.003	.153	.238	.200	.094
-.537	-.006	-.079	-.061	.095	.232	.281	.132	-.046
-.511	-.026	-.023	.008	.156	.282	.263	.041	-.112
-.471	-.072	.043	.107	.228	.287	.178	-.041	-.138
-.431	-.106	.101	.180	.295	.247	.095	-.155	-.145
-.389	-.147	.155	.254	.310	.211	-.024	-.186	-.092
-.342	-.184	.203	.293	.292	.128	-.123	-.203	-.039
-.279	-.212	.245	.315	.256	.020	-.223	-.135	.045
-.226	-.263	.281	.334	.195	-.084	-.259	-.062	.135
-.173	-.287	.307	.311	.109	-.165	-.235	.017	.155
-.121	-.336	.319	.289	.035	-.242	-.194	.082	.129
-.063	-.365	.314	.254	-.045	-.259	-.114	.177	.083
-.008	-.390	.311	.208	-.147	-.268	-.007	.200	.013
.045	-.414	.292	.146	-.215	-.221	.100	.169	-.043
.111	-.443	.253	.077	-.262	-.151	.163	.115	-.094
.158	-.443	.217	.013	-.285	-.093	.206	.075	-.167
.194	-.447	.175	-.062	-.289	-.029	.204	-.006	-.146
.241	-.438	.103	-.126	-.260	.062	.202	-.091	-.102
.265	-.421	.042	-.163	-.230	.129	.163	-.147	-.068
.284	-.419	-.030	-.204	-.181	.193	.073	-.158	.000
.293	-.386	-.084	-.220	-.118	.219	.013	-.189	.055
.310	-.359	-.152	-.231	-.043	.241	-.078	-.147	.082
.309	-.323	-.210	-.242	.030	.238	-.123	-.095	.134
.310	-.286	-.261	-.221	.082	.230	-.171	-.032	.137
.307	-.248	-.320	-.192	.148	.160	-.211	.027	.131
.303	-.211	-.355	-.151	.203	.112	-.197	.106	.068
.300	-.150	-.395	-.091	.251	.032	-.175	.149	.018
.276	-.104	-.434	-.033	.271	-.035	-.131	.203	-.059
.258	-.041	-.439	.036	.274	-.110	-.057	.204	-.114
.234	.019	-.453	.097	.255	-.173	.003	.162	-.163
.207	.096	-.429	.161	.191	-.206	.080	.131	-.140
.179	.128	-.415	.202	.146	-.221	.146	.043	-.118
.163	.184	-.380	.266	.097	-.216	.185	-.021	-.102
.149	.201	-.355	.297	.034	-.186	.182	-.075	-.041
.129	.262	-.301	.322	-.062	-.133	.179	-.117	.011
.126	.285	-.255	.333	-.114	-.074	.164	-.148	.086
.111	.319	-.218	.356	-.159	-.005	.136	-.154	.134
.101	.348	-.162	.345	-.213	.028	.071	-.149	.137
.103	.354	-.089	.326	-.252	.085	.007	-.144	.157
.105	.370	-.020	.282	-.271	.149	-.036	-.101	.123
.102	.381	.044	.229	-.277	.202	-.109	-.022	.110
.096	.399	.094	.187	-.262	.211	-.151	.046	.036
.116	.406	.175	.113	-.242	.236	-.179	.096	-.011
.127	.396	.220	.051	-.181	.211	-.184	.138	-.093
.121	.398	.282	-.017	-.128	.189	-.179	.186	-.160
.147	.400	.331	-.096	-.040	.133	-.142	.192	-.201
.160	.384	.350	-.157	.011	.072	-.098	.164	-.187
.155	.358	.375	-.232	.082	.029	-.063	.143	-.161
.155	.331	.375	-.265	.135	-.026	.000	.086	-.093
.185	.317	.389	-.310	.192	-.094	.079	.012	-.006
.174	.286	.378	-.333	.227	-.145	.086	-.058	.040
.175	.275	.370	-.339	.258	-.189	.145	-.149	.147
.191	.241	.350	-.327	.268	-.225	.179	-.208	.186
.181	.218	.304	-.313	.239	-.242	.198	-.238	.220
